,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",92
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",93
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",94
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",95
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",96
ESPACIO ESPÍNOLA GÓMEZ,"PARAGUAY 1176 ESQ. CANELONES, Montevideo, Uruguay","-34,9055016","-56,1851147",97
ESPACIO ESPÍNOLA GÓMEZ,"PARAGUAY 1176 ESQ. CANELONES, Montevideo, Uruguay","-34,9055016","-56,1851147",98
THE ANGLO SCHOOL,"DR. JAVIER BARRIOS AMORÍN 1275 ESQ. SORIANO, Montevideo, Uruguay","-34,9070011","-56,184596",99
THE ANGLO SCHOOL,"DR. JAVIER BARRIOS AMORÍN 1275 ESQ. SORIANO, Montevideo, Uruguay","-34,9070011","-56,184596",100
THE ANGLO SCHOOL,"DR. JAVIER BARRIOS AMORÍN 1275 ESQ. SORIANO, Montevideo, Uruguay","-34,9070011","-56,184596",101
THE ANGLO SCHOOL,"DR. JAVIER BARRIOS AMORÍN 1275 ESQ. SORIANO, Montevideo, Uruguay","-34,9070011","-56,184596",102
CLUB ESPAÑOL DE MONTEVIDEO,"AV. 18 DE JULIO 1332 ESQ. EJIDO, Montevideo, Uruguay","-34,9058033","-56,1874195",103
ÁNIMA  BACHILLERATO TECNOLÓGICO,"CANELONES 1162 ESQ. HÉCTOR GUTIÉRREZ RUIZ, Montevideo, Uruguay","-34,9088576","-56,190696",104
ÁNIMA  BACHILLERATO TECNOLÓGICO,"CANELONES 1162 ESQ. HÉCTOR GUTIÉRREZ RUIZ, Montevideo, Uruguay","-34,9088576","-56,190696",105
ÁNIMA  BACHILLERATO TECNOLÓGICO,"CANELONES 1162 ESQ. HÉCTOR GUTIÉRREZ RUIZ, Montevideo, Uruguay","-34,9088576","-56,190696",106
ÁNIMA  BACHILLERATO TECNOLÓGICO,"CANELONES 1162 ESQ. HÉCTOR GUTIÉRREZ RUIZ, Montevideo, Uruguay","-34,9088576","-56,190696",107
INSTITUTO CULTURAL ANGLO,"SAN JOSÉ 1426 ESQ. SANTIAGO DE CHILE, Montevideo, Uruguay","-34,9067581","-56,184871",108
INSTITUTO CULTURAL ANGLO,"SAN JOSÉ 1426 ESQ. SANTIAGO DE CHILE, Montevideo, Uruguay","-34,9067581","-56,184871",109
COOPERATIVA CUAREIM,"VICTOR RODRIGUEZ ANDRADE 1218 ESQ. ZELMAR MICHELINI, Montevideo, Uruguay","-34,9123299","-56,1892676",110
POLICLINICA BARRIO SUR,"AV. GONZALO RAMIREZ  1270 ESQ. CARLOS SAN VIANA, Montevideo, Uruguay","-34,9120923","-56,1880862",111
POLICLINICA BARRIO SUR,"AV. GONZALO RAMIREZ  1270 ESQ. CARLOS SAN VIANA, Montevideo, Uruguay","-34,9120923","-56,1880862",112
ANEXO COLEGIO Y LICEO JUAN XXIII,"MERCEDES 1776 ESQ. GABOTO, Montevideo, Uruguay","-34,9037096","-56,1780311",113
ESCUELA Nº 6,"AV. URUGUAY 1467 ESQ. VÁZQUEZ, Montevideo, Uruguay","-34,9024125","-56,1853509",114
ESCUELA Nº 6,"AV. URUGUAY 1467 ESQ. VÁZQUEZ, Montevideo, Uruguay","-34,9024125","-56,1853509",115
ESCUELA Nº 6,"AV. URUGUAY 1467 ESQ. VÁZQUEZ, Montevideo, Uruguay","-34,9024125","-56,1853509",116
COLEGIO NACIONAL JOSÉ PEDRO VARELA,"COLONIA 1637 ESQ. MINAS, Montevideo, Uruguay","-34,902844","-56,1815077",117
